time,Azimuth:,Pitch:,Roll:
10.114,-149.584,-86.740,20.556
10.151,-147.359,-86.740,20.556
10.185,-146.164,-86.928,21.801
10.254,-134.009,-87.229,33.690
10.286,-131.485,-87.229,33.690
10.325,-130.188,-88.265,35.538
10.353,-129.267,-88.265,35.538
10.394,-126.248,-88.631,38.660
10.465,-119.670,-88.079,45.000
10.486,-119.952,-88.079,45.000
10.535,-132.944,-87.777,32.005
10.561,-134.667,-87.777,32.005
10.604,-121.862,-87.244,45.000
10.675,-116.517,-88.104,50.194
10.691,-119.222,-88.104,50.194
10.745,-129.380,-88.211,39.806
10.758,-139.315,-88.211,39.806
10.814,-138.711,-87.631,41.186
10.885,-135.107,-87.635,45.000
10.885,-150.557,-87.635,45.000
10.952,-158.328,-87.635,45.000
10.954,-158.133,-87.804,45.000
11.025,-176.308,-87.694,24.444
11.084,-169.961,-87.694,24.444
11.093,-157.817,-87.859,37.875
11.152,-145.338,-87.859,37.875
11.164,-148.251,-87.654,34.992
11.235,-166.111,-86.392,16.390
11.285,-156.146,-86.392,16.390
11.312,-149.537,-86.673,23.199
11.352,-145.365,-86.673,23.199
11.376,-134.870,-87.462,33.690
11.444,-131.693,-87.594,36.870
11.485,-130.841,-87.594,36.870
11.515,-135.156,-86.797,32.471
11.551,-134.914,-86.797,32.471
11.585,-133.863,-87.353,33.690
11.655,-128.716,-87.044,38.660
11.687,-128.855,-87.044,38.660
11.724,-131.495,-86.947,36.027
11.754,-132.898,-86.947,36.027
11.794,-134.329,-87.431,34.992
11.865,-120.566,-87.922,48.814
11.886,-121.790,-87.922,48.814
11.935,-140.439,-87.384,30.256
11.960,-138.816,-87.384,30.256
12.004,-126.807,-87.466,41.987
12.075,-142.905,-87.844,26.565
12.094,-140.625,-87.844,26.565
12.144,-134.336,-87.324,32.471
12.158,-133.540,-87.324,32.471
12.215,-147.764,-87.247,18.435
12.285,-151.153,-86.447,14.931
12.285,-151.058,-86.447,14.931
12.352,-151.758,-86.447,14.931
12.355,-149.415,-86.038,17.354
12.425,-149.590,-86.687,17.103
12.485,-153.002,-86.687,17.103
12.494,-143.625,-87.322,26.565
12.553,-152.925,-87.322,26.565
12.564,-142.273,-87.430,37.875
12.634,-135.475,-87.508,45.000
12.685,-148.434,-87.508,45.000
12.709,-155.320,-87.925,36.870
12.752,-160.158,-87.925,36.870
12.775,-164.379,-88.149,32.005
12.848,-172.244,-88.541,23.199
12.885,-167.428,-88.541,23.199
12.916,-162.363,-88.028,29.055
12.952,-150.624,-88.028,29.055
12.984,-143.211,-88.025,36.870
13.055,-146.508,-87.739,33.690
13.086,-136.257,-87.739,33.690
13.124,-129.006,-87.631,41.186
13.153,-126.216,-87.631,41.186
13.194,-128.852,-86.983,38.660
13.265,-140.934,-86.221,26.565
13.286,-139.029,-86.221,26.565
13.335,-139.027,-86.205,26.565
13.359,-138.175,-86.205,26.565
13.499,-132.403,-86.929,32.471
13.499,-123.251,-87.286,41.634
13.500,-122.716,-87.286,41.634
13.543,-123.416,-87.668,41.186
13.552,-124.939,-87.668,41.186
13.614,-113.019,-87.940,53.130
13.684,-117.038,-88.204,49.399
13.685,-118.043,-88.204,49.399
13.752,-115.877,-88.204,49.399
13.755,-112.761,-87.809,52.125
13.823,-119.538,-87.274,45.000
13.885,-118.638,-87.274,45.000
13.893,-123.697,-88.192,40.601
13.952,-122.613,-88.192,40.601
13.963,-118.199,-88.226,45.000
14.035,-131.177,-87.898,32.005
14.085,-132.431,-87.898,32.005
14.108,-112.196,-87.378,52.125
14.153,-112.714,-87.378,52.125
14.174,-126.172,-86.958,38.660
14.244,-136.121,-86.999,28.610
14.286,-139.827,-86.999,28.610
14.314,-133.563,-87.148,34.992
14.353,-140.618,-87.148,34.992
14.385,-148.188,-87.509,26.565
14.455,-147.286,-88.544,26.565
14.486,-156.250,-88.544,26.565
14.524,-143.396,-87.818,41.186
14.553,-148.939,-87.818,41.186
14.594,-155.730,-87.886,33.690
14.665,-155.700,-87.914,33.690
14.686,-150.357,-87.914,33.690
14.735,-153.058,-87.744,30.964
14.759,-141.260,-87.744,30.964
14.804,-123.040,-88.173,49.399
14.875,-124.194,-87.745,48.814
14.894,-115.722,-87.745,48.814
14.944,-116.517,-87.264,48.366
14.958,-113.638,-87.264,48.366
15.014,-112.469,-87.845,49.399
15.085,-129.493,-86.851,32.471
15.085,-129.040,-86.851,32.471
15.153,-128.455,-86.851,32.471
15.154,-127.075,-86.473,33.690
